Shipment_ID,Date,Year,Month,Quarter,Carrier,Origin,Destination,Cargo_Type,Mode,Client_Type,Incoterm,Warehouse,Analyst,Planned_Days,Actual_Days,Delay_Days,On_Time,Cargo_Value,Freight_Cost,SLA_Penalty,Customs_Hold,Delivered
SHP-696251,2022-05-04,2022,5,2,UPS,Los Angeles,Singapore,Textiles,Air Freight,SMB,CIF,WH-South,Analyst_E,2,2,0,1,8758.93,1413.2,0.0,0,1
SHP-837135,2024-07-18,2024,7,3,UPS,Los Angeles,Dubai,Electronics,Rail,Enterprise,DAP,WH-South,Analyst_B,11,10,0,1,5832.06,1104.97,0.0,0,1
SHP-402630,2024-06-18,2024,6,2,UPS,New York,Dubai,Chemicals,Road,Startup,DDP,WH-North,Analyst_E,4,4,0,1,4484.29,392.34,0.0,0,1
SHP-703139,2022-02-12,2022,2,1,CMA CGM,Busan,Los Angeles,Automotive,Rail,Startup,EXW,WH-South,Analyst_E,12,11,0,1,845.51,565.28,0.0,0,1
SHP-209680,2022-11-26,2022,11,4,DB Schenker,Tokyo,Sydney,Textiles,Rail,Enterprise,DDP,WH-North,Analyst_C,11,11,0,1,2477.44,1002.29,0.0,0,1
SHP-668950,2024-08-04,2024,8,3,Kuehne+Nagel,Shanghai,Singapore,Machinery,Rail,Startup,FOB,WH-South,Analyst_C,10,10,0,1,3576.98,388.13,0.0,0,1
SHP-350921,2022-11-21,2022,11,4,CMA CGM,London,Los Angeles,Chemicals,Air Freight,SMB,FOB,WH-West,Analyst_A,3,3,0,1,30728.39,4161.35,0.0,0,1
SHP-578975,2022-10-24,2022,10,4,Kuehne+Nagel,Los Angeles,Mumbai,Automotive,Air Freight,Government,DDP,WH-East,Analyst_E,4,4,0,1,11180.28,2195.36,0.0,0,1
SHP-255813,2024-07-03,2024,7,3,XPO Logistics,Dubai,Tokyo,Chemicals,Rail,Government,CIF,WH-South,Analyst_E,12,11,0,1,564.97,414.61,0.0,0,1
SHP-499749,2024-03-01,2024,3,1,DHL,New York,Los Angeles,Automotive,Road,Enterprise,DDP,WH-North,Analyst_E,7,10,3,0,10875.06,1625.46,24.38,1,1
SHP-377896,2023-11-25,2023,11,4,Kuehne+Nagel,Singapore,Tokyo,Chemicals,Road,Startup,DAP,WH-North,Analyst_E,4,4,0,1,3981.2,1236.56,0.0,0,1
SHP-203225,2022-07-25,2022,7,3,XPO Logistics,Rotterdam,Dubai,Perishables,Air Freight,Government,FOB,WH-East,Analyst_C,3,3,0,1,2632.8,925.27,0.0,0,1
SHP-182804,2024-02-23,2024,2,1,Maersk,New York,Mumbai,Automotive,Sea Freight,Startup,EXW,WH-West,Analyst_C,20,20,0,1,16346.11,1363.69,0.0,0,1
SHP-462351,2023-09-05,2023,9,3,Kuehne+Nagel,Hamburg,Sydney,Textiles,Sea Freight,Startup,DDP,WH-North,Analyst_B,23,23,0,1,29611.74,1304.22,0.0,0,1
SHP-108491,2022-04-11,2022,4,2,XPO Logistics,Hamburg,Singapore,Machinery,Sea Freight,SMB,DAP,WH-East,Analyst_B,20,20,0,1,25709.71,1838.14,0.0,1,1
SHP-237795,2022-07-04,2022,7,3,CMA CGM,Dubai,London,Automotive,Sea Freight,SMB,DAP,WH-East,Analyst_E,22,22,0,1,2091.9,1054.32,0.0,0,1
SHP-943298,2022-08-24,2022,8,3,XPO Logistics,Singapore,Hamburg,Electronics,Rail,Government,FOB,WH-West,Analyst_A,11,11,0,1,4433.06,847.76,0.0,0,1
SHP-213609,2023-04-24,2023,4,2,XPO Logistics,Shanghai,Mumbai,Machinery,Sea Freight,Enterprise,DDP,WH-East,Analyst_D,20,40,20,0,10986.26,1435.79,114.86,0,1
SHP-663658,2022-10-05,2022,10,4,Kuehne+Nagel,New York,Tokyo,Chemicals,Sea Freight,Startup,FOB,WH-West,Analyst_E,23,23,0,1,27373.96,1390.5,0.0,0,1
SHP-480303,2022-07-23,2022,7,3,DB Schenker,London,Tokyo,Perishables,Rail,Government,CIF,WH-North,Analyst_D,8,7,0,1,3484.26,319.73,0.0,0,0
SHP-925206,2023-02-25,2023,2,1,UPS,London,Singapore,Electronics,Sea Freight,Government,CIF,WH-Central,Analyst_A,22,21,0,1,5281.27,797.44,0.0,0,1
SHP-127032,2022-09-27,2022,9,3,FedEx,Dubai,Singapore,Machinery,Air Freight,SMB,EXW,WH-North,Analyst_B,5,5,0,1,1432.71,675.37,0.0,0,1
SHP-573962,2024-10-28,2024,10,4,Maersk,Busan,Los Angeles,Textiles,Rail,Enterprise,FOB,WH-West,Analyst_D,12,12,0,1,1261.4,229.21,0.0,0,1
SHP-168872,2022-09-16,2022,9,3,CMA CGM,Busan,Mumbai,Machinery,Rail,Government,DDP,WH-Central,Analyst_E,12,22,10,0,21727.83,1775.63,71.03,0,1
SHP-325468,2024-05-30,2024,5,2,XPO Logistics,Los Angeles,London,Machinery,Rail,Startup,DDP,WH-North,Analyst_C,12,11,0,1,46947.82,3065.53,0.0,0,1
SHP-189511,2022-07-10,2022,7,3,Kuehne+Nagel,Singapore,Tokyo,Automotive,Air Freight,Government,FOB,WH-West,Analyst_C,5,5,0,1,6204.08,1384.86,0.0,0,1
SHP-323072,2022-11-13,2022,11,4,XPO Logistics,Los Angeles,New York,Machinery,Road,Enterprise,EXW,WH-Central,Analyst_B,7,6,0,1,28481.39,2356.98,0.0,0,1
SHP-130359,2023-01-05,2023,1,1,CMA CGM,Hamburg,Tokyo,Machinery,Air Freight,SMB,CIF,WH-Central,Analyst_D,2,6,4,0,11469.4,1558.91,24.94,0,1
SHP-575682,2023-11-30,2023,11,4,DHL,Dubai,Dubai,Machinery,Air Freight,Enterprise,CIF,WH-South,Analyst_E,2,2,0,1,2754.15,867.59,0.0,0,1
SHP-891615,2024-11-15,2024,11,4,UPS,Dubai,London,Pharma,Road,Startup,DAP,WH-East,Analyst_A,5,4,0,1,11465.5,971.91,0.0,0,1
SHP-901280,2023-06-08,2023,6,2,CMA CGM,Dubai,New York,Perishables,Rail,Startup,CIF,WH-South,Analyst_D,9,9,0,1,60742.43,3201.99,0.0,0,1
SHP-119651,2024-07-30,2024,7,3,UPS,Dubai,Mumbai,Chemicals,Rail,Startup,EXW,WH-North,Analyst_D,9,9,0,1,6530.47,1175.35,0.0,0,1
SHP-985506,2022-08-05,2022,8,3,Maersk,Tokyo,Mumbai,Chemicals,Air Freight,Startup,EXW,WH-East,Analyst_B,4,3,0,1,63076.28,8146.7,0.0,0,1
SHP-468154,2022-10-30,2022,10,4,Maersk,Singapore,Hamburg,Textiles,Sea Freight,SMB,DAP,WH-South,Analyst_A,21,21,0,1,500.0,799.0,0.0,0,1
SHP-691912,2023-10-24,2023,10,4,DB Schenker,Rotterdam,Sydney,Pharma,Rail,Startup,EXW,WH-East,Analyst_E,9,9,0,1,22018.45,1607.64,0.0,1,1
SHP-180458,2022-07-04,2022,7,3,Kuehne+Nagel,New York,Mumbai,Perishables,Rail,SMB,EXW,WH-Central,Analyst_D,9,9,0,1,7772.49,1372.77,0.0,0,1
SHP-141043,2023-05-23,2023,5,2,XPO Logistics,New York,Toronto,Automotive,Road,Government,EXW,WH-West,Analyst_D,6,6,0,1,4497.63,429.18,0.0,0,1
SHP-397949,2023-06-01,2023,6,2,DHL,Dubai,New York,Automotive,Road,Government,DDP,WH-South,Analyst_E,4,4,0,1,7824.58,1301.34,0.0,0,1
SHP-874661,2024-12-14,2024,12,4,UPS,Tokyo,Toronto,Machinery,Air Freight,Government,EXW,WH-South,Analyst_B,4,3,0,1,500.0,1059.98,0.0,0,1
SHP-926403,2022-07-27,2022,7,3,FedEx,Dubai,Mumbai,Automotive,Rail,SMB,CIF,WH-South,Analyst_E,10,10,0,1,5032.77,960.37,0.0,0,1
SHP-398768,2024-07-08,2024,7,3,Maersk,London,Singapore,Textiles,Rail,SMB,EXW,WH-Central,Analyst_D,12,12,0,1,11396.12,1539.45,0.0,0,1
SHP-245121,2023-05-28,2023,5,2,FedEx,New York,Tokyo,Pharma,Air Freight,Government,FOB,WH-South,Analyst_C,5,5,0,1,55780.29,6876.18,0.0,0,1
SHP-466566,2022-02-24,2022,2,1,Kuehne+Nagel,Shanghai,London,Machinery,Sea Freight,Startup,FOB,WH-East,Analyst_B,20,20,0,1,3296.48,944.1,0.0,0,1
SHP-970068,2024-08-25,2024,8,3,DHL,New York,Sydney,Perishables,Air Freight,Enterprise,EXW,WH-South,Analyst_B,4,6,2,0,2184.99,471.86,7.86,0,1
SHP-753064,2024-07-25,2024,7,3,UPS,Singapore,Sydney,Perishables,Sea Freight,SMB,EXW,WH-West,Analyst_A,21,30,9,0,3374.53,836.37,62.73,0,1
SHP-651613,2024-11-05,2024,11,4,FedEx,Tokyo,Sydney,Perishables,Rail,Government,EXW,WH-North,Analyst_C,8,7,0,1,25137.72,2051.24,0.0,0,1
SHP-146489,2023-12-23,2023,12,4,DB Schenker,Rotterdam,Sydney,Consumer Goods,Sea Freight,SMB,FOB,WH-West,Analyst_A,22,21,0,1,10947.21,821.92,0.0,0,1
SHP-955015,2024-08-27,2024,8,3,CMA CGM,Shanghai,Singapore,Textiles,Road,Enterprise,EXW,WH-East,Analyst_A,6,6,0,1,3243.25,1099.77,0.0,0,0
SHP-620306,2024-10-15,2024,10,4,DB Schenker,London,Dubai,Pharma,Rail,Enterprise,DDP,WH-Central,Analyst_B,11,11,0,1,14218.51,1086.77,0.0,0,1
SHP-823270,2024-06-28,2024,6,2,DB Schenker,New York,Los Angeles,Machinery,Rail,Government,FOB,WH-North,Analyst_D,11,10,0,1,7883.75,1351.7,0.0,0,1
SHP-919264,2024-06-16,2024,6,2,FedEx,Rotterdam,New York,Electronics,Road,Government,DDP,WH-Central,Analyst_A,5,5,0,1,27107.61,2126.0,0.0,1,1
SHP-484774,2024-03-26,2024,3,1,DB Schenker,Hamburg,Singapore,Pharma,Air Freight,SMB,DDP,WH-Central,Analyst_D,2,2,0,1,2540.69,598.0,0.0,0,1
SHP-615060,2023-02-14,2023,2,1,UPS,Rotterdam,New York,Consumer Goods,Sea Freight,Startup,FOB,WH-East,Analyst_C,20,20,0,1,4318.67,1038.97,0.0,0,1
SHP-768676,2022-12-23,2022,12,4,DB Schenker,London,Singapore,Pharma,Sea Freight,SMB,CIF,WH-West,Analyst_A,22,21,0,1,3941.76,808.42,0.0,1,1
SHP-851759,2024-09-07,2024,9,3,Kuehne+Nagel,Tokyo,Mumbai,Pharma,Sea Freight,Government,FOB,WH-West,Analyst_D,22,30,8,0,863.68,710.36,37.89,0,1
SHP-553633,2024-10-26,2024,10,4,FedEx,Singapore,Toronto,Automotive,Road,SMB,CIF,WH-East,Analyst_B,6,6,0,1,10452.56,1488.49,0.0,0,1
SHP-677599,2023-07-17,2023,7,3,DHL,Hamburg,Mumbai,Pharma,Sea Freight,SMB,CIF,WH-Central,Analyst_E,22,21,0,1,9945.9,570.94,0.0,0,1
SHP-377511,2023-03-08,2023,3,1,Kuehne+Nagel,Busan,Los Angeles,Consumer Goods,Road,Government,DDP,WH-South,Analyst_D,6,5,0,1,6920.52,910.88,0.0,0,1
SHP-736129,2022-10-22,2022,10,4,DB Schenker,Dubai,Tokyo,Chemicals,Sea Freight,Government,DAP,WH-Central,Analyst_A,22,22,0,1,4927.51,520.23,0.0,1,1
SHP-502810,2024-05-06,2024,5,2,Maersk,Rotterdam,Tokyo,Machinery,Sea Freight,SMB,DDP,WH-Central,Analyst_D,23,22,0,1,924.65,987.7,0.0,0,1
SHP-325595,2023-12-24,2023,12,4,FedEx,Shanghai,Dubai,Consumer Goods,Rail,Government,DAP,WH-North,Analyst_A,12,14,2,0,3785.55,976.75,6.51,0,1
SHP-697983,2023-02-03,2023,2,1,DB Schenker,London,Dubai,Pharma,Rail,Startup,DAP,WH-East,Analyst_E,9,11,2,0,4227.53,1026.78,13.69,0,1
SHP-891638,2022-10-23,2022,10,4,Maersk,Busan,Toronto,Chemicals,Air Freight,Enterprise,FOB,WH-South,Analyst_C,5,4,0,1,2204.32,659.69,0.0,0,1
SHP-746447,2023-09-05,2023,9,3,DB Schenker,London,Toronto,Consumer Goods,Road,Startup,FOB,WH-East,Analyst_C,4,3,0,1,5466.85,965.23,0.0,0,1
SHP-913864,2023-04-12,2023,4,2,FedEx,Busan,Sydney,Automotive,Rail,SMB,CIF,WH-North,Analyst_E,9,9,0,1,12179.87,845.28,0.0,0,1
SHP-912617,2024-08-23,2024,8,3,FedEx,Rotterdam,Toronto,Electronics,Road,Startup,DAP,WH-West,Analyst_C,5,5,0,1,99481.35,6677.16,0.0,0,1
SHP-942690,2023-06-26,2023,6,2,XPO Logistics,Los Angeles,Singapore,Textiles,Road,SMB,EXW,WH-East,Analyst_B,7,7,0,1,8798.85,886.94,0.0,0,1
SHP-513697,2023-12-08,2023,12,4,DHL,Hamburg,Los Angeles,Textiles,Air Freight,Government,DDP,WH-East,Analyst_D,3,3,0,1,9896.62,1411.14,0.0,0,1
SHP-354235,2022-04-14,2022,4,2,Maersk,Los Angeles,Los Angeles,Pharma,Rail,Government,DDP,WH-North,Analyst_B,9,8,0,1,6182.7,775.35,0.0,0,1
SHP-600641,2023-02-13,2023,2,1,CMA CGM,Dubai,Dubai,Perishables,Air Freight,SMB,DAP,WH-North,Analyst_B,4,3,0,1,500.0,1057.45,0.0,0,1
SHP-885386,2023-08-16,2023,8,3,FedEx,Shanghai,Dubai,Pharma,Road,Government,DDP,WH-Central,Analyst_E,7,7,0,1,6617.21,742.59,0.0,0,1
SHP-866634,2024-07-28,2024,7,3,CMA CGM,Rotterdam,Los Angeles,Machinery,Road,SMB,CIF,WH-Central,Analyst_D,7,6,0,1,7482.68,715.26,0.0,0,1
SHP-360096,2022-01-14,2022,1,1,CMA CGM,Tokyo,Singapore,Consumer Goods,Road,Government,EXW,WH-Central,Analyst_E,4,3,0,1,183500.0,11165.91,0.0,0,1
SHP-525110,2024-10-26,2024,10,4,CMA CGM,Singapore,Dubai,Machinery,Sea Freight,SMB,CIF,WH-West,Analyst_B,23,23,0,1,5231.35,941.0,0.0,0,1
SHP-940952,2023-03-24,2023,3,1,Maersk,Busan,New York,Consumer Goods,Road,Enterprise,DAP,WH-North,Analyst_A,5,5,0,1,10533.25,1501.03,0.0,0,1
SHP-851742,2024-09-28,2024,9,3,UPS,London,Sydney,Perishables,Rail,SMB,DAP,WH-West,Analyst_D,8,8,0,1,6540.79,1077.99,0.0,0,1
SHP-882032,2023-03-23,2023,3,1,UPS,Shanghai,London,Machinery,Air Freight,Enterprise,FOB,WH-West,Analyst_A,4,4,0,1,1311.57,594.4,0.0,0,1
SHP-495833,2024-02-09,2024,2,1,UPS,London,Hamburg,Machinery,Air Freight,SMB,DAP,WH-West,Analyst_E,3,2,0,1,34696.01,4944.08,0.0,0,1
SHP-854024,2024-05-18,2024,5,2,Kuehne+Nagel,Los Angeles,Singapore,Consumer Goods,Road,SMB,EXW,WH-South,Analyst_A,4,3,0,1,19940.12,1513.01,0.0,1,1
SHP-568127,2022-04-10,2022,4,2,Maersk,Shanghai,London,Consumer Goods,Sea Freight,SMB,FOB,WH-South,Analyst_E,22,22,0,1,21076.04,1462.77,0.0,0,1
SHP-348411,2023-09-11,2023,9,3,DHL,London,Singapore,Chemicals,Road,Government,FOB,WH-Central,Analyst_E,5,5,0,1,1893.91,255.83,0.0,0,1
SHP-499669,2024-12-10,2024,12,4,DB Schenker,Tokyo,London,Automotive,Road,Startup,CIF,WH-Central,Analyst_D,5,4,0,1,50149.29,3834.16,0.0,0,1
SHP-536740,2024-12-21,2024,12,4,DHL,Tokyo,Singapore,Textiles,Sea Freight,Government,FOB,WH-West,Analyst_C,20,19,0,1,942.54,379.32,0.0,0,1
SHP-176319,2023-01-21,2023,1,1,Maersk,New York,Singapore,Machinery,Road,Enterprise,CIF,WH-South,Analyst_A,7,6,0,1,15781.23,1403.84,0.0,0,1
SHP-396809,2024-02-19,2024,2,1,XPO Logistics,London,Tokyo,Textiles,Road,Government,DAP,WH-West,Analyst_D,4,4,0,1,153104.45,10109.16,0.0,0,1
SHP-689849,2023-03-30,2023,3,1,DHL,Shanghai,Dubai,Chemicals,Road,SMB,CIF,WH-East,Analyst_B,7,7,0,1,1688.19,432.89,0.0,0,1
SHP-772865,2024-10-01,2024,10,4,XPO Logistics,Rotterdam,Tokyo,Automotive,Sea Freight,Startup,CIF,WH-Central,Analyst_A,20,19,0,1,3079.6,911.09,0.0,0,1
SHP-342675,2022-05-20,2022,5,2,DHL,Shanghai,Singapore,Consumer Goods,Road,Enterprise,DAP,WH-Central,Analyst_D,7,14,7,0,7912.55,585.42,13.66,0,1
SHP-400614,2022-02-05,2022,2,1,Kuehne+Nagel,Rotterdam,New York,Pharma,Sea Freight,SMB,CIF,WH-Central,Analyst_E,22,22,0,1,3366.32,305.77,0.0,0,1
SHP-355021,2023-04-08,2023,4,2,CMA CGM,Singapore,Los Angeles,Pharma,Rail,Startup,DDP,WH-Central,Analyst_D,9,8,0,1,763.34,588.04,0.0,0,1
SHP-693343,2022-07-15,2022,7,3,FedEx,Los Angeles,Singapore,Consumer Goods,Road,Enterprise,FOB,WH-East,Analyst_E,4,3,0,1,7571.55,1419.62,0.0,0,1
SHP-847332,2024-03-26,2024,3,1,UPS,Hamburg,Hamburg,Electronics,Rail,Government,DDP,WH-South,Analyst_A,11,12,1,0,1524.95,482.78,2.9,0,1
SHP-515973,2023-10-31,2023,10,4,FedEx,Hamburg,Sydney,Consumer Goods,Sea Freight,Government,DAP,WH-West,Analyst_D,21,20,0,1,13441.21,1332.6,0.0,0,1
SHP-177077,2022-06-18,2022,6,2,CMA CGM,Rotterdam,London,Automotive,Rail,Government,EXW,WH-North,Analyst_A,9,9,0,1,1867.16,285.37,0.0,0,1
SHP-684041,2024-11-15,2024,11,4,Kuehne+Nagel,Singapore,Los Angeles,Pharma,Road,Enterprise,DAP,WH-Central,Analyst_C,7,8,1,0,61775.19,4458.87,29.73,0,0
SHP-354533,2024-12-03,2024,12,4,DHL,Tokyo,Hamburg,Automotive,Road,Government,EXW,WH-West,Analyst_B,4,4,0,1,2264.55,671.68,0.0,1,1
SHP-358568,2024-10-12,2024,10,4,Maersk,New York,New York,Automotive,Road,Enterprise,DDP,WH-East,Analyst_E,7,7,0,1,4353.08,748.74,0.0,0,1
SHP-723266,2022-10-06,2022,10,4,CMA CGM,Dubai,Mumbai,Electronics,Rail,Government,CIF,WH-West,Analyst_C,11,10,0,1,21758.37,1481.22,0.0,0,1
SHP-482746,2022-08-22,2022,8,3,Maersk,Busan,Toronto,Automotive,Air Freight,Startup,CIF,WH-West,Analyst_C,2,2,0,1,1200.95,849.79,0.0,0,1
SHP-364955,2022-11-12,2022,11,4,Kuehne+Nagel,Tokyo,New York,Consumer Goods,Rail,Startup,DAP,WH-Central,Analyst_D,9,8,0,1,9483.52,672.61,0.0,0,1
SHP-274418,2022-04-01,2022,4,2,Kuehne+Nagel,Dubai,London,Pharma,Air Freight,Enterprise,EXW,WH-South,Analyst_E,3,2,0,1,43792.65,5665.59,0.0,1,1
SHP-536181,2022-06-25,2022,6,2,UPS,Rotterdam,Tokyo,Textiles,Road,Startup,CIF,WH-Central,Analyst_D,6,6,0,1,704.29,429.28,0.0,0,1
SHP-220675,2022-02-16,2022,2,1,DB Schenker,Singapore,Hamburg,Electronics,Sea Freight,SMB,EXW,WH-Central,Analyst_D,23,22,0,1,8925.13,624.75,0.0,0,1
SHP-873207,2023-02-09,2023,2,1,XPO Logistics,Busan,London,Chemicals,Air Freight,SMB,CIF,WH-East,Analyst_A,2,2,0,1,9929.39,1584.91,0.0,0,1
SHP-613261,2024-12-16,2024,12,4,DB Schenker,Busan,London,Chemicals,Air Freight,Government,EXW,WH-West,Analyst_E,3,3,0,1,20802.8,3423.15,0.0,0,1
