Transaction_ID,Date,Year,Month,Quarter,Department,Category,Transaction_Type,Source_System,Region,Currency,Analyst,Expected_Amount,Actual_Amount,Discrepancy,Discrepancy_Pct,Status
TXN-000022,2023-05-26,2023,May,Q2,Procurement,Capital Expenditure,Debit,ERP System,North America,AUD,A. Okafor,526070.81,524938.69,-1132.12,-0.22,Reconciled
TXN-000023,2023-12-01,2023,Dec,Q4,HR,Cost of Goods Sold,Debit,Manual Entry,Middle East & Africa,USD,A. Okafor,70919.25,71031.52,112.27,0.16,Reconciled
TXN-000024,2024-09-02,2024,Sep,Q3,Logistics,Payroll,Debit,Bank Statement,North America,USD,B. Mensah,7595.62,7668.35,72.73,0.96,Under Review
TXN-000025,2022-07-09,2022,Jul,Q3,Operations,Accounts Receivable,Credit,Manual Entry,Latin America,USD,D. Adeyemi,34986.37,34776.27,-210.1,-0.6,Under Review
TXN-000026,2024-08-15,2024,Aug,Q3,Sales,Accounts Payable,Debit,Third-Party API,Europe,USD,G. Asante,10782.56,10774.47,-8.09,-0.08,Reconciled
TXN-000027,2023-11-18,2023,Nov,Q4,Logistics,Cost of Goods Sold,Debit,Bank Statement,Europe,EUR,E. Nwosu,104114.73,104308.6,193.87,0.19,Reconciled
TXN-000028,2024-08-15,2024,Aug,Q3,Finance,Operating Expense,Debit,Manual Entry,Asia Pacific,USD,C. Eze,22140.04,22111.94,-28.1,-0.13,Reconciled
TXN-000029,2023-07-17,2023,Jul,Q3,Operations,Accounts Payable,Debit,Manual Entry,Latin America,GBP,F. Diallo,23226.95,23784.34,557.39,2.4,Under Review
TXN-000030,2024-04-11,2024,Apr,Q2,Logistics,Cost of Goods Sold,Debit,Manual Entry,Europe,USD,A. Okafor,176866.41,176821.27,-45.14,-0.03,Reconciled
TXN-000031,2023-10-09,2023,Oct,Q4,Procurement,Accounts Payable,Debit,Bank Statement,North America,GBP,G. Asante,77115.47,77137.24,21.77,0.03,Reconciled
TXN-000032,2022-01-21,2022,Jan,Q1,HR,Accounts Payable,Debit,ERP System,Asia Pacific,NGN,H. Balogun,86212.42,86341.59,129.17,0.15,Reconciled
TXN-000033,2024-04-20,2024,Apr,Q2,IT,Revenue,Credit,ERP System,Europe,EUR,G. Asante,273083.66,273160.92,77.26,0.03,Reconciled
TXN-000034,2022-06-16,2022,Jun,Q2,Sales,Capital Expenditure,Debit,Bank Statement,Europe,USD,C. Eze,438449.73,439127.15,677.42,0.15,Reconciled
TXN-000035,2023-01-23,2023,Jan,Q1,HR,Accounts Payable,Debit,ERP System,Europe,NGN,A. Okafor,6750.59,6744.38,-6.21,-0.09,Reconciled
TXN-000036,2023-08-24,2023,Aug,Q3,Procurement,Revenue,Credit,ERP System,Middle East & Africa,EUR,E. Nwosu,398905.65,398455.07,-450.58,-0.11,Reconciled
TXN-000037,2022-11-12,2022,Nov,Q4,Marketing,Operating Expense,Debit,ERP System,North America,EUR,B. Mensah,65139.44,65131.84,-7.6,-0.01,Reconciled
TXN-000038,2022-01-14,2022,Jan,Q1,Procurement,Accounts Payable,Debit,ERP System,Europe,GBP,D. Adeyemi,43028.73,43049.64,20.91,0.05,Reconciled
TXN-000039,2022-08-30,2022,Aug,Q3,Finance,Cost of Goods Sold,Debit,POS System,Europe,GBP,C. Eze,27117.93,27102.2,-15.73,-0.06,Reconciled
TXN-000040,2024-02-16,2024,Feb,Q1,Operations,Operating Expense,Debit,ERP System,North America,EUR,G. Asante,70375.28,70323.73,-51.55,-0.07,Reconciled
TXN-000041,2023-07-19,2023,Jul,Q3,Sales,Payroll,Debit,ERP System,North America,AUD,C. Eze,120710.59,124482.25,3771.66,3.12,Under Review
TXN-000042,2024-06-16,2024,Jun,Q2,Finance,Revenue,Credit,Manual Entry,Middle East & Africa,USD,G. Asante,27378.55,27391.47,12.92,0.05,Reconciled
TXN-000043,2022-04-02,2022,Apr,Q2,HR,Cost of Goods Sold,Debit,Manual Entry,Asia Pacific,USD,E. Nwosu,17229.91,15630.22,-1599.69,-9.28,Flagged
TXN-000044,2024-08-13,2024,Aug,Q3,Marketing,Operating Expense,Debit,Third-Party API,Asia Pacific,USD,A. Okafor,60193.27,60149.5,-43.77,-0.07,Reconciled
TXN-000045,2023-05-24,2023,May,Q2,Operations,Operating Expense,Debit,Manual Entry,Europe,USD,H. Balogun,18935.65,18948.48,12.83,0.07,Reconciled
TXN-000046,2024-02-15,2024,Feb,Q1,Logistics,Cost of Goods Sold,Debit,ERP System,Asia Pacific,NGN,H. Balogun,92778.37,92898.61,120.24,0.13,Reconciled
TXN-000047,2022-02-04,2022,Feb,Q1,Sales,Revenue,Credit,ERP System,Europe,USD,B. Mensah,345798.73,345629.18,-169.55,-0.05,Reconciled
TXN-000048,2022-07-25,2022,Jul,Q3,HR,Accounts Receivable,Credit,Third-Party API,North America,USD,C. Eze,16061.51,9827.57,-6233.94,-38.81,Flagged
TXN-000049,2024-10-22,2024,Oct,Q4,Sales,Accounts Payable,Debit,ERP System,Europe,EUR,H. Balogun,56885.98,56933.53,47.55,0.08,Reconciled
TXN-000050,2024-10-18,2024,Oct,Q4,Sales,Operating Expense,Debit,Bank Statement,Latin America,EUR,H. Balogun,70116.26,70060.26,-56.0,-0.08,Reconciled
TXN-000051,2023-07-20,2023,Jul,Q3,IT,Cost of Goods Sold,Debit,Bank Statement,Asia Pacific,GBP,F. Diallo,98669.49,98783.59,114.1,0.12,Reconciled
TXN-000052,2023-12-04,2023,Dec,Q4,IT,Revenue,Credit,Manual Entry,Europe,NGN,G. Asante,13513.04,13511.01,-2.03,-0.02,Reconciled
TXN-000053,2023-02-06,2023,Feb,Q1,Logistics,Revenue,Credit,POS System,Middle East & Africa,GBP,G. Asante,418003.93,434629.22,16625.29,3.98,Under Review
TXN-000054,2023-12-31,2023,Dec,Q4,Marketing,Payroll,Debit,Bank Statement,North America,USD,H. Balogun,13876.98,13892.57,15.59,0.11,Reconciled
TXN-000055,2022-06-11,2022,Jun,Q2,Operations,Capital Expenditure,Debit,Third-Party API,Asia Pacific,NGN,A. Okafor,743891.45,711290.22,-32601.23,-4.38,Under Review
TXN-000056,2022-07-21,2022,Jul,Q3,IT,Revenue,Credit,Third-Party API,Europe,EUR,C. Eze,469306.43,472907.02,3600.59,0.77,Under Review
TXN-000057,2024-09-22,2024,Sep,Q3,HR,Revenue,Credit,ERP System,Europe,GBP,C. Eze,298111.62,281208.54,-16903.08,-5.67,Flagged
TXN-000058,2022-09-27,2022,Sep,Q3,IT,Tax & Compliance,Debit,Manual Entry,Asia Pacific,USD,H. Balogun,24563.52,24556.15,-7.37,-0.03,Reconciled
TXN-000059,2024-03-26,2024,Mar,Q1,Marketing,Payroll,Debit,Third-Party API,Asia Pacific,EUR,C. Eze,69385.52,69375.67,-9.85,-0.01,Reconciled
TXN-000060,2023-04-01,2023,Apr,Q2,Marketing,Operating Expense,Debit,Manual Entry,Middle East & Africa,GBP,A. Okafor,48216.71,48147.34,-69.37,-0.14,Reconciled
TXN-000061,2024-10-13,2024,Oct,Q4,Finance,Capital Expenditure,Debit,Third-Party API,Latin America,NGN,B. Mensah,242373.15,242609.52,236.37,0.1,Reconciled
TXN-000062,2022-10-23,2022,Oct,Q4,Finance,Operating Expense,Debit,Third-Party API,Europe,USD,A. Okafor,72424.78,72499.86,75.08,0.1,Reconciled
TXN-000063,2023-12-21,2023,Dec,Q4,Finance,Operating Expense,Debit,ERP System,Europe,NGN,F. Diallo,63028.47,62996.41,-32.06,-0.05,Reconciled
TXN-000064,2022-12-04,2022,Dec,Q4,Marketing,Revenue,Credit,POS System,Latin America,NGN,H. Balogun,214147.7,214030.22,-117.48,-0.05,Reconciled
TXN-000065,2024-05-28,2024,May,Q2,Sales,Cost of Goods Sold,Debit,POS System,Europe,USD,F. Diallo,144041.12,144179.59,138.47,0.1,Reconciled
TXN-000066,2024-12-12,2024,Dec,Q4,Procurement,Revenue,Credit,Manual Entry,Asia Pacific,EUR,B. Mensah,480874.55,481424.66,550.11,0.11,Reconciled
TXN-000067,2024-03-02,2024,Mar,Q1,Operations,Accounts Receivable,Credit,Bank Statement,Asia Pacific,NGN,B. Mensah,28670.91,28714.6,43.69,0.15,Reconciled
TXN-000068,2022-08-05,2022,Aug,Q3,Finance,Cost of Goods Sold,Debit,Bank Statement,Middle East & Africa,USD,E. Nwosu,116871.75,116931.91,60.16,0.05,Reconciled
TXN-000069,2024-02-03,2024,Feb,Q1,Operations,Cost of Goods Sold,Debit,Bank Statement,Asia Pacific,EUR,E. Nwosu,50601.11,50523.11,-78.0,-0.15,Reconciled
TXN-000070,2022-07-07,2022,Jul,Q3,IT,Revenue,Credit,ERP System,North America,EUR,H. Balogun,435970.47,447423.47,11453.0,2.63,Under Review
TXN-000071,2023-01-15,2023,Jan,Q1,Logistics,Revenue,Credit,Manual Entry,North America,AUD,G. Asante,86736.07,86702.27,-33.8,-0.04,Reconciled
TXN-000072,2023-05-08,2023,May,Q2,Sales,Accounts Payable,Debit,Manual Entry,Middle East & Africa,USD,D. Adeyemi,19282.73,18647.31,-635.42,-3.3,Under Review
TXN-000073,2024-11-30,2024,Nov,Q4,Operations,Revenue,Credit,Manual Entry,North America,GBP,H. Balogun,342801.88,342589.7,-212.18,-0.06,Reconciled
TXN-000074,2022-01-15,2022,Jan,Q1,Finance,Payroll,Debit,ERP System,North America,USD,A. Okafor,20536.35,20520.55,-15.8,-0.08,Reconciled
TXN-000075,2022-03-06,2022,Mar,Q1,Finance,Tax & Compliance,Debit,ERP System,North America,USD,D. Adeyemi,21657.7,21630.24,-27.46,-0.13,Reconciled
TXN-000076,2023-06-05,2023,Jun,Q2,Marketing,Cost of Goods Sold,Debit,POS System,North America,GBP,C. Eze,107089.61,103542.83,-3546.78,-3.31,Under Review
TXN-000077,2023-10-10,2023,Oct,Q4,Sales,Accounts Payable,Debit,Manual Entry,Middle East & Africa,USD,C. Eze,64767.38,64849.35,81.97,0.13,Reconciled
TXN-000078,2024-12-22,2024,Dec,Q4,Sales,Cost of Goods Sold,Debit,Bank Statement,Middle East & Africa,EUR,F. Diallo,54058.88,53988.53,-70.35,-0.13,Reconciled
TXN-000079,2023-08-16,2023,Aug,Q3,HR,Revenue,Credit,ERP System,North America,USD,F. Diallo,64958.45,65046.33,87.88,0.14,Reconciled
TXN-000080,2023-01-27,2023,Jan,Q1,Sales,Revenue,Credit,Manual Entry,Middle East & Africa,EUR,C. Eze,352318.38,351497.55,-820.83,-0.23,Reconciled
TXN-000081,2023-02-23,2023,Feb,Q1,Procurement,Cost of Goods Sold,Debit,ERP System,Europe,EUR,H. Balogun,21184.18,20209.2,-974.98,-4.6,Under Review
TXN-000082,2022-10-16,2022,Oct,Q4,Procurement,Operating Expense,Debit,ERP System,North America,NGN,C. Eze,68133.39,68121.8,-11.59,-0.02,Reconciled
TXN-000083,2023-01-14,2023,Jan,Q1,Finance,Tax & Compliance,Debit,Third-Party API,Europe,USD,H. Balogun,23266.97,23268.58,1.61,0.01,Reconciled
TXN-000084,2022-08-19,2022,Aug,Q3,Logistics,Capital Expenditure,Debit,POS System,North America,EUR,H. Balogun,351866.06,352619.97,753.91,0.21,Reconciled
TXN-000085,2024-10-14,2024,Oct,Q4,IT,Revenue,Credit,Manual Entry,North America,USD,G. Asante,476028.38,475253.72,-774.66,-0.16,Reconciled
TXN-000086,2022-02-10,2022,Feb,Q1,Sales,Tax & Compliance,Debit,ERP System,North America,NGN,B. Mensah,18026.42,18049.84,23.42,0.13,Reconciled
TXN-000087,2024-11-17,2024,Nov,Q4,Procurement,Cost of Goods Sold,Debit,Bank Statement,North America,NGN,G. Asante,53108.41,53111.5,3.09,0.01,Reconciled
TXN-000088,2022-05-15,2022,May,Q2,Marketing,Accounts Receivable,Credit,ERP System,Asia Pacific,USD,E. Nwosu,90337.63,90408.77,71.14,0.08,Reconciled
TXN-000089,2022-07-20,2022,Jul,Q3,Procurement,Accounts Receivable,Credit,Bank Statement,Asia Pacific,AUD,C. Eze,110711.7,148726.75,38015.05,34.34,Flagged
TXN-000090,2024-02-19,2024,Feb,Q1,Marketing,Revenue,Credit,Manual Entry,North America,NGN,G. Asante,217274.21,217484.89,210.68,0.1,Reconciled
TXN-000091,2024-07-18,2024,Jul,Q3,HR,Tax & Compliance,Debit,Manual Entry,Middle East & Africa,NGN,B. Mensah,43526.38,37033.13,-6493.25,-14.92,Flagged
TXN-000092,2024-11-22,2024,Nov,Q4,IT,Accounts Receivable,Credit,Bank Statement,Latin America,USD,D. Adeyemi,84239.29,84316.31,77.02,0.09,Reconciled
TXN-000093,2024-12-07,2024,Dec,Q4,Marketing,Revenue,Credit,Manual Entry,North America,NGN,D. Adeyemi,294736.54,285913.51,-8823.03,-2.99,Under Review
TXN-000094,2023-05-18,2023,May,Q2,IT,Revenue,Credit,Manual Entry,North America,EUR,G. Asante,199083.94,199294.77,210.83,0.11,Reconciled
TXN-000095,2023-02-11,2023,Feb,Q1,Sales,Operating Expense,Debit,POS System,Middle East & Africa,USD,C. Eze,57911.75,57988.24,76.49,0.13,Reconciled
TXN-000096,2024-03-15,2024,Mar,Q1,HR,Revenue,Credit,Bank Statement,Asia Pacific,USD,F. Diallo,187733.57,187550.42,-183.15,-0.1,Reconciled
TXN-000097,2022-04-09,2022,Apr,Q2,IT,Accounts Payable,Debit,Bank Statement,Europe,AUD,F. Diallo,29715.36,29683.59,-31.77,-0.11,Reconciled
TXN-000098,2023-11-15,2023,Nov,Q4,Logistics,Accounts Payable,Debit,Third-Party API,Europe,AUD,G. Asante,9671.53,9671.74,0.21,0.0,Reconciled
TXN-000099,2023-12-27,2023,Dec,Q4,IT,Accounts Receivable,Credit,ERP System,Asia Pacific,EUR,G. Asante,102576.18,102380.32,-195.86,-0.19,Reconciled
TXN-000100,2024-08-18,2024,Aug,Q3,Marketing,Cost of Goods Sold,Debit,Bank Statement,North America,AUD,H. Balogun,128767.72,128895.77,128.05,0.1,Reconciled
TXN-000101,2023-09-05,2023,Sep,Q3,Operations,Revenue,Credit,Manual Entry,Europe,NGN,C. Eze,482549.71,482705.22,155.51,0.03,Reconciled
TXN-000102,2023-10-05,2023,Oct,Q4,HR,Operating Expense,Debit,ERP System,Asia Pacific,USD,E. Nwosu,25004.93,24986.06,-18.87,-0.08,Reconciled
TXN-000103,2024-10-25,2024,Oct,Q4,IT,Accounts Payable,Debit,ERP System,Europe,GBP,H. Balogun,84119.78,87007.13,2887.35,3.43,Under Review
TXN-000104,2023-05-18,2023,May,Q2,Operations,Tax & Compliance,Debit,Bank Statement,North America,NGN,D. Adeyemi,11929.33,11926.62,-2.71,-0.02,Reconciled
TXN-000105,2024-02-06,2024,Feb,Q1,Operations,Accounts Receivable,Credit,Bank Statement,Asia Pacific,EUR,E. Nwosu,55571.09,55601.86,30.77,0.06,Reconciled
TXN-000106,2023-02-02,2023,Feb,Q1,Logistics,Accounts Receivable,Credit,Manual Entry,Middle East & Africa,NGN,G. Asante,55995.79,56004.92,9.13,0.02,Reconciled
TXN-000107,2024-05-20,2024,May,Q2,IT,Operating Expense,Debit,Bank Statement,Europe,USD,D. Adeyemi,4407.61,4408.4,0.79,0.02,Reconciled
TXN-000108,2024-03-05,2024,Mar,Q1,Marketing,Revenue,Credit,ERP System,Europe,AUD,H. Balogun,77243.05,77184.66,-58.39,-0.08,Reconciled
TXN-000109,2023-01-28,2023,Jan,Q1,Sales,Revenue,Credit,POS System,North America,NGN,C. Eze,154456.39,154530.11,73.72,0.05,Reconciled
TXN-000110,2022-07-26,2022,Jul,Q3,Operations,Tax & Compliance,Debit,Third-Party API,North America,USD,A. Okafor,2178.31,2178.46,0.15,0.01,Reconciled
TXN-000111,2024-11-04,2024,Nov,Q4,Operations,Accounts Receivable,Credit,ERP System,North America,USD,G. Asante,81029.86,80939.71,-90.15,-0.11,Reconciled
TXN-000112,2024-06-10,2024,Jun,Q2,Logistics,Operating Expense,Debit,ERP System,Asia Pacific,USD,E. Nwosu,12843.57,12849.9,6.33,0.05,Reconciled
TXN-000113,2024-05-13,2024,May,Q2,HR,Accounts Payable,Debit,Manual Entry,Europe,EUR,C. Eze,19416.27,19422.6,6.33,0.03,Reconciled
TXN-000114,2024-01-13,2024,Jan,Q1,Sales,Payroll,Debit,ERP System,Europe,USD,H. Balogun,7144.65,6990.43,-154.22,-2.16,Under Review
TXN-000115,2023-07-18,2023,Jul,Q3,Logistics,Revenue,Credit,POS System,Middle East & Africa,USD,G. Asante,382851.56,382977.84,126.28,0.03,Reconciled
TXN-000116,2024-10-17,2024,Oct,Q4,Marketing,Accounts Payable,Debit,Bank Statement,Latin America,USD,F. Diallo,17852.25,17842.08,-10.17,-0.06,Reconciled
TXN-000117,2022-04-06,2022,Apr,Q2,Sales,Operating Expense,Debit,Manual Entry,Latin America,USD,F. Diallo,24335.69,24346.99,11.3,0.05,Reconciled
TXN-000118,2023-04-30,2023,Apr,Q2,Operations,Revenue,Credit,Bank Statement,North America,USD,F. Diallo,448639.32,448197.86,-441.46,-0.1,Reconciled
TXN-000119,2022-08-19,2022,Aug,Q3,Marketing,Accounts Payable,Debit,Bank Statement,Asia Pacific,GBP,H. Balogun,78361.34,81011.63,2650.29,3.38,Under Review
TXN-000120,2024-01-19,2024,Jan,Q1,HR,Capital Expenditure,Debit,Manual Entry,Europe,NGN,A. Okafor,575615.67,575835.49,219.82,0.04,Reconciled
TXN-000121,2023-06-25,2023,Jun,Q2,HR,Operating Expense,Debit,Bank Statement,North America,USD,F. Diallo,18999.55,18972.94,-26.61,-0.14,Reconciled
TXN-000122,2024-11-25,2024,Nov,Q4,HR,Revenue,Credit,Manual Entry,Asia Pacific,GBP,G. Asante,460865.14,515659.21,54794.07,11.89,Flagged
TXN-000123,2023-06-09,2023,Jun,Q2,Logistics,Operating Expense,Debit,Bank Statement,Europe,USD,B. Mensah,39230.05,40525.75,1295.7,3.3,Under Review
TXN-000124,2023-08-01,2023,Aug,Q3,HR,Operating Expense,Debit,POS System,Asia Pacific,USD,B. Mensah,52076.08,52101.46,25.38,0.05,Reconciled
TXN-000125,2023-11-13,2023,Nov,Q4,Finance,Revenue,Credit,ERP System,Europe,USD,D. Adeyemi,233056.64,233230.27,173.63,0.07,Reconciled
TXN-000126,2023-07-11,2023,Jul,Q3,Marketing,Revenue,Credit,ERP System,Europe,GBP,H. Balogun,429420.93,428879.65,-541.28,-0.13,Reconciled
TXN-000127,2024-10-09,2024,Oct,Q4,Logistics,Revenue,Credit,ERP System,Europe,EUR,G. Asante,36269.61,36292.6,22.99,0.06,Reconciled
TXN-000128,2023-10-08,2023,Oct,Q4,IT,Operating Expense,Debit,Third-Party API,Middle East & Africa,USD,E. Nwosu,49488.51,50316.25,827.74,1.67,Under Review
TXN-000129,2024-03-06,2024,Mar,Q1,Logistics,Accounts Payable,Debit,ERP System,Latin America,USD,H. Balogun,22440.45,22422.31,-18.14,-0.08,Reconciled
TXN-000130,2024-11-17,2024,Nov,Q4,Logistics,Capital Expenditure,Debit,ERP System,Europe,USD,H. Balogun,952752.93,987903.83,35150.9,3.69,Under Review
TXN-000131,2022-07-09,2022,Jul,Q3,Operations,Revenue,Credit,ERP System,Asia Pacific,GBP,B. Mensah,45727.43,45764.75,37.32,0.08,Reconciled
TXN-000132,2023-09-25,2023,Sep,Q3,Operations,Revenue,Credit,POS System,Middle East & Africa,USD,A. Okafor,129387.9,129553.97,166.07,0.13,Reconciled
TXN-000133,2023-09-20,2023,Sep,Q3,Operations,Revenue,Credit,Third-Party API,Middle East & Africa,USD,F. Diallo,102139.25,102016.42,-122.83,-0.12,Reconciled
TXN-000134,2024-08-30,2024,Aug,Q3,Sales,Operating Expense,Debit,Manual Entry,Europe,EUR,B. Mensah,35591.55,31550.93,-4040.62,-11.35,Flagged
TXN-000135,2023-12-11,2023,Dec,Q4,Marketing,Accounts Payable,Debit,Bank Statement,North America,AUD,B. Mensah,19536.93,19531.31,-5.62,-0.03,Reconciled
TXN-000136,2023-10-11,2023,Oct,Q4,Sales,Cost of Goods Sold,Debit,ERP System,Asia Pacific,GBP,H. Balogun,195905.2,195921.63,16.43,0.01,Reconciled
TXN-000137,2022-11-14,2022,Nov,Q4,HR,Operating Expense,Debit,POS System,North America,EUR,A. Okafor,76180.65,79073.38,2892.73,3.8,Under Review
TXN-000138,2023-11-15,2023,Nov,Q4,IT,Revenue,Credit,ERP System,Middle East & Africa,USD,D. Adeyemi,308252.53,308749.6,497.07,0.16,Reconciled
TXN-000139,2023-10-26,2023,Oct,Q4,Marketing,Revenue,Credit,ERP System,Europe,AUD,E. Nwosu,409556.88,409752.34,195.46,0.05,Reconciled
TXN-000140,2023-03-18,2023,Mar,Q1,Sales,Revenue,Credit,Bank Statement,Asia Pacific,EUR,G. Asante,384342.74,383975.41,-367.33,-0.1,Reconciled
TXN-000141,2023-07-18,2023,Jul,Q3,Procurement,Capital Expenditure,Debit,ERP System,North America,USD,B. Mensah,358528.33,358161.6,-366.73,-0.1,Reconciled
TXN-000142,2024-08-09,2024,Aug,Q3,Marketing,Revenue,Credit,POS System,North America,USD,D. Adeyemi,495447.76,496143.47,695.71,0.14,Reconciled
TXN-000143,2023-11-30,2023,Nov,Q4,Operations,Cost of Goods Sold,Debit,ERP System,North America,USD,E. Nwosu,130918.66,130783.73,-134.93,-0.1,Reconciled
TXN-000144,2022-04-23,2022,Apr,Q2,Operations,Tax & Compliance,Debit,POS System,Middle East & Africa,EUR,D. Adeyemi,33211.71,33218.51,6.8,0.02,Reconciled
TXN-000145,2022-01-02,2022,Jan,Q1,Finance,Payroll,Debit,Manual Entry,North America,USD,E. Nwosu,44860.96,44830.81,-30.15,-0.07,Reconciled
TXN-000146,2023-10-04,2023,Oct,Q4,Finance,Revenue,Credit,ERP System,Latin America,USD,G. Asante,396973.87,424867.82,27893.95,7.03,Flagged
TXN-000147,2022-08-08,2022,Aug,Q3,Procurement,Cost of Goods Sold,Debit,Third-Party API,North America,USD,F. Diallo,182223.99,182270.61,46.62,0.03,Reconciled
TXN-000148,2024-05-04,2024,May,Q2,Finance,Tax & Compliance,Debit,Bank Statement,Asia Pacific,USD,E. Nwosu,38084.74,38061.46,-23.28,-0.06,Reconciled
TXN-000149,2023-01-20,2023,Jan,Q1,IT,Operating Expense,Debit,Bank Statement,Middle East & Africa,AUD,E. Nwosu,6095.72,6100.0,4.28,0.07,Reconciled
TXN-000150,2024-12-12,2024,Dec,Q4,HR,Operating Expense,Debit,ERP System,Asia Pacific,GBP,B. Mensah,45169.48,45170.53,1.05,0.0,Reconciled
TXN-000151,2023-12-31,2023,Dec,Q4,HR,Cost of Goods Sold,Debit,Third-Party API,North America,GBP,E. Nwosu,34195.05,34270.53,75.48,0.22,Reconciled
TXN-000152,2022-09-04,2022,Sep,Q3,Marketing,Revenue,Credit,Third-Party API,Latin America,EUR,G. Asante,237338.74,237337.49,-1.25,-0.0,Reconciled
TXN-000153,2024-04-15,2024,Apr,Q2,Operations,Operating Expense,Debit,Third-Party API,Asia Pacific,NGN,E. Nwosu,56885.66,56872.7,-12.96,-0.02,Reconciled
TXN-000154,2022-07-22,2022,Jul,Q3,Logistics,Tax & Compliance,Debit,Manual Entry,Latin America,GBP,C. Eze,9596.52,9601.21,4.69,0.05,Reconciled
TXN-000155,2022-05-03,2022,May,Q2,HR,Capital Expenditure,Debit,ERP System,North America,GBP,E. Nwosu,393788.13,393056.32,-731.81,-0.19,Reconciled
TXN-000156,2023-02-05,2023,Feb,Q1,Finance,Payroll,Debit,Bank Statement,Europe,USD,F. Diallo,115020.36,115003.27,-17.09,-0.01,Reconciled
TXN-000157,2024-02-06,2024,Feb,Q1,Procurement,Operating Expense,Debit,ERP System,Europe,EUR,D. Adeyemi,46159.14,46183.0,23.86,0.05,Reconciled
TXN-000158,2022-10-21,2022,Oct,Q4,Logistics,Payroll,Debit,Manual Entry,Middle East & Africa,USD,B. Mensah,136736.09,136955.52,219.43,0.16,Reconciled
