Record_ID,Date,Year,Month,Quarter,Department,Region,Product,Channel,Employee_ID,Cost_Center,Revenue,Cost,Gross_Margin,Margin_Pct,Deals_Closed,Leads_Generated,Conv_Rate_Pct,Customer_Sat,NPS,Headcount,Attrition_Pct,Training_Hrs,Productivity_Pct,CAC,LTV,LTV_CAC_Ratio,MQL_Count,SQL_Count,CTR_Pct,SLA_Met,Ticket_Volume,Resolution_Hrs,Uptime_Pct,Status
REC-000026,2023-04-28,2023,Apr,Q2,Sales,Latin America,Pro Plan,Direct Sales,EMP-0183,CC-100,28946.13,18521.96,10424.17,36.0,3,12,25.0,6.9,42,122,18.3,27.4,57.3,1057.33,4205.63,3.98,121,48,4.19,0,163,10.8,99.73,Above Target
REC-000027,2023-07-15,2023,Jul,Q3,Legal,Asia Pacific,Starter Pack,Partner,EMP-0098,CC-400,5880.34,3493.43,2386.91,40.6,1,19,5.3,8.6,69,24,14.8,16.3,79.2,736.04,3896.27,5.29,105,16,3.15,1,210,14.5,98.76,Above Target
REC-000028,2023-01-04,2023,Jan,Q1,Sales,Asia Pacific,Add-On Services,Partner,EMP-0042,CC-200,10455.65,6169.16,4286.49,41.0,1,3,33.3,7.0,41,140,5.3,27.6,89.0,1217.68,7540.6,6.19,105,4,2.24,1,191,11.5,99.55,Above Target
REC-000029,2022-09-06,2022,Sep,Q3,Operations,Asia Pacific,Pro Plan,Direct Sales,EMP-0034,CC-300,39341.43,25749.45,13591.98,34.5,0,17,0.0,8.2,55,61,10.4,7.6,89.1,1347.54,7458.4,5.53,84,4,4.06,1,251,17.4,98.82,Above Target
REC-000030,2023-04-21,2023,Apr,Q2,HR,Asia Pacific,Enterprise Suite,Inbound,EMP-0065,CC-400,57478.0,45607.82,11870.18,20.7,0,4,0.0,7.5,35,63,10.5,25.9,64.7,989.6,7100.06,7.17,116,43,2.75,1,139,17.8,99.86,Below Target
REC-000031,2024-07-18,2024,Jul,Q3,HR,Asia Pacific,Pro Plan,Online,EMP-0012,CC-100,30134.6,23053.58,7081.02,23.5,4,8,50.0,7.9,39,97,17.3,30.2,61.8,1584.15,8263.37,5.22,67,4,1.86,0,364,21.2,99.43,Above Target
REC-000032,2024-02-20,2024,Feb,Q1,Sales,Asia Pacific,Consulting,Online,EMP-0029,CC-200,40804.23,21608.66,19195.57,47.0,4,4,100.0,7.0,34,139,16.6,24.2,93.2,847.04,5554.36,6.56,13,32,3.89,1,278,25.4,98.9,Above Target
REC-000033,2022-08-29,2022,Aug,Q3,Operations,Europe,Enterprise Suite,Online,EMP-0107,CC-200,73040.53,41740.0,31300.53,42.9,4,9,44.4,7.3,63,183,17.7,26.6,77.8,1909.62,8106.06,4.24,37,19,1.73,1,231,9.7,98.44,Below Target
REC-000034,2022-09-29,2022,Sep,Q3,Marketing,Asia Pacific,Enterprise Suite,Partner,EMP-0121,CC-400,76224.15,56907.64,19316.51,25.3,2,12,16.7,7.2,41,62,18.6,31.1,100.0,735.3,4543.43,6.18,89,30,4.01,1,318,20.5,98.61,Below Target
REC-000035,2024-05-08,2024,May,Q2,Operations,North America,Enterprise Suite,Online,EMP-0031,CC-100,72811.73,42738.95,30072.78,41.3,0,13,0.0,9.2,58,198,16.0,28.6,61.6,1182.98,6258.11,5.29,140,5,3.27,1,473,13.3,97.9,Below Target
REC-000036,2024-11-18,2024,Nov,Q4,Finance,Latin America,Pro Plan,Inbound,EMP-0173,CC-100,18036.18,9783.1,8253.08,45.8,2,14,14.3,7.1,42,64,4.2,14.3,63.9,819.66,3509.49,4.28,100,9,2.34,1,136,23.4,98.55,Below Target
REC-000037,2023-04-10,2023,Apr,Q2,Sales,Asia Pacific,Add-On Services,Online,EMP-0006,CC-400,8387.92,4461.92,3926.0,46.8,2,19,10.5,8.5,32,58,23.3,26.4,70.4,731.71,4205.86,5.75,61,16,3.11,1,481,30.3,98.64,On Track
REC-000038,2024-05-27,2024,May,Q2,Operations,Europe,Add-On Services,Inbound,EMP-0047,CC-300,11980.9,7512.2,4468.7,37.3,0,9,0.0,6.5,44,154,14.7,25.1,85.1,1898.79,7611.28,4.01,89,8,4.29,1,71,13.2,99.95,Above Target
REC-000039,2023-01-20,2023,Jan,Q1,Finance,North America,Enterprise Suite,Direct Sales,EMP-0187,CC-500,119631.63,75210.16,44421.47,37.1,2,1,200.0,9.1,54,104,12.1,17.7,76.7,1190.87,3687.58,3.1,61,42,2.72,1,57,23.0,99.13,Above Target
REC-000040,2022-08-24,2022,Aug,Q3,Legal,Asia Pacific,Enterprise Suite,Direct Sales,EMP-0177,CC-100,88074.79,54812.23,33262.56,37.8,0,11,0.0,7.2,46,118,8.9,21.8,67.9,1584.62,7021.13,4.43,105,42,4.94,1,398,23.1,99.64,On Track
REC-000041,2024-08-11,2024,Aug,Q3,Customer Success,Asia Pacific,Add-On Services,Direct Sales,EMP-0116,CC-400,8920.75,5693.32,3227.43,36.2,4,3,133.3,10.0,15,27,14.3,20.3,65.8,1062.84,6547.35,6.16,65,48,4.9,1,326,16.4,100.0,Above Target
REC-000042,2023-01-24,2023,Jan,Q1,Operations,North America,Starter Pack,Partner,EMP-0138,CC-400,4043.25,2506.29,1536.96,38.0,3,14,21.4,7.1,56,47,3.0,20.6,77.4,1508.98,2720.07,1.8,95,8,4.79,1,325,17.0,98.39,Below Target
REC-000043,2024-08-30,2024,Aug,Q3,Customer Success,MEA,Starter Pack,Outbound,EMP-0077,CC-200,3962.54,1809.33,2153.21,54.3,1,19,5.3,6.1,36,70,19.3,21.6,53.8,1125.84,3681.77,3.27,145,40,3.63,1,277,15.9,99.39,Below Target
REC-000044,2024-07-10,2024,Jul,Q3,Operations,Asia Pacific,Enterprise Suite,Online,EMP-0113,CC-100,54833.82,35125.73,19708.09,35.9,3,10,30.0,8.8,75,90,10.1,25.2,65.7,1721.28,10398.29,6.04,139,46,3.26,0,356,22.1,98.6,Below Target
REC-000045,2024-02-02,2024,Feb,Q1,HR,MEA,Consulting,Outbound,EMP-0178,CC-500,32891.38,24460.5,8430.88,25.6,0,4,0.0,9.7,17,108,10.9,21.1,79.4,1400.36,7246.58,5.17,58,9,1.58,0,470,14.1,98.75,Below Target
REC-000046,2022-05-03,2022,May,Q2,Marketing,MEA,Add-On Services,Direct Sales,EMP-0154,CC-100,4192.14,2653.48,1538.66,36.7,1,17,5.9,7.7,47,17,6.0,26.3,68.1,1340.65,7151.44,5.33,140,13,4.33,1,236,19.5,99.24,Below Target
REC-000047,2022-06-10,2022,Jun,Q2,Legal,North America,Add-On Services,Direct Sales,EMP-0145,CC-300,9711.4,5951.0,3760.4,38.7,0,6,0.0,5.9,52,93,14.9,43.9,77.9,927.77,3707.13,4.0,65,49,4.54,1,43,13.4,99.58,Above Target
REC-000048,2024-12-23,2024,Dec,Q4,Sales,North America,Starter Pack,Outbound,EMP-0141,CC-100,5640.87,2786.83,2854.04,50.6,3,18,16.7,10.0,34,177,10.3,17.5,63.6,593.42,1689.96,2.85,5,36,2.09,1,449,24.2,98.41,Above Target
REC-000049,2023-02-14,2023,Feb,Q1,Finance,Asia Pacific,Consulting,Inbound,EMP-0050,CC-300,50756.43,28992.56,21763.87,42.9,2,15,13.3,6.8,72,168,18.5,40.6,65.9,1692.11,4326.16,2.56,96,40,3.46,1,469,14.5,99.95,Above Target
REC-000050,2022-07-01,2022,Jul,Q3,IT,Europe,Pro Plan,Direct Sales,EMP-0016,CC-100,21292.65,15087.5,6205.15,29.1,4,2,200.0,8.2,52,97,11.4,7.1,79.5,1381.54,5384.85,3.9,39,25,3.9,1,492,11.4,98.88,Below Target
REC-000051,2023-05-26,2023,May,Q2,Marketing,Asia Pacific,Pro Plan,Direct Sales,EMP-0070,CC-300,19877.96,15922.13,3955.83,19.9,4,2,200.0,8.5,46,174,12.6,33.1,87.3,1143.13,6475.65,5.66,133,14,4.92,1,223,22.0,98.76,Below Target
REC-000052,2022-05-02,2022,May,Q2,Finance,North America,Starter Pack,Partner,EMP-0025,CC-300,2384.53,1401.18,983.35,41.2,1,7,14.3,8.3,25,139,11.7,10.1,66.6,451.77,2407.94,5.33,125,33,3.08,1,37,12.7,99.88,Below Target
REC-000053,2023-08-07,2023,Aug,Q3,HR,Europe,Starter Pack,Online,EMP-0195,CC-100,4116.72,3318.8,797.92,19.4,2,1,200.0,8.4,42,16,15.2,21.1,78.1,1612.77,7838.34,4.86,83,37,2.17,0,296,12.0,99.0,Below Target
REC-000054,2022-02-03,2022,Feb,Q1,Operations,Europe,Pro Plan,Online,EMP-0165,CC-400,16128.96,11043.24,5085.72,31.5,1,1,100.0,7.4,61,70,11.8,20.0,82.0,465.24,2125.64,4.57,83,17,3.3,1,274,24.4,100.0,Below Target
REC-000055,2022-01-09,2022,Jan,Q1,HR,Asia Pacific,Add-On Services,Direct Sales,EMP-0057,CC-400,10025.92,7126.36,2899.56,28.9,1,1,100.0,6.5,45,156,16.4,24.4,73.6,677.8,3158.48,4.66,79,27,1.85,1,413,14.7,98.57,Above Target
REC-000056,2023-09-08,2023,Sep,Q3,Sales,Europe,Consulting,Direct Sales,EMP-0196,CC-100,34431.48,16688.63,17742.85,51.5,3,16,18.8,7.4,37,181,12.7,12.9,72.1,953.62,5545.18,5.81,78,2,2.24,0,331,28.5,98.99,On Track
REC-000057,2024-09-17,2024,Sep,Q3,Operations,Europe,Enterprise Suite,Inbound,EMP-0167,CC-500,52897.56,31628.19,21269.37,40.2,1,8,12.5,8.7,58,67,16.8,28.2,73.5,1525.08,3619.09,2.37,104,27,4.86,1,410,10.8,98.4,Below Target
REC-000058,2024-03-03,2024,Mar,Q1,IT,Latin America,Enterprise Suite,Outbound,EMP-0178,CC-200,110938.13,59807.52,51130.61,46.1,2,10,20.0,10.0,31,82,16.8,33.3,89.4,888.75,4624.74,5.2,69,29,1.69,1,40,28.7,98.69,Above Target
REC-000059,2023-10-01,2023,Oct,Q4,HR,North America,Enterprise Suite,Inbound,EMP-0181,CC-100,104148.07,75376.35,28771.72,27.6,4,7,57.1,9.5,56,109,17.1,31.0,67.5,721.5,3115.13,4.32,39,29,3.5,1,55,13.4,98.82,Above Target
REC-000060,2023-09-12,2023,Sep,Q3,Sales,Asia Pacific,Add-On Services,Inbound,EMP-0055,CC-200,8586.97,4733.75,3853.22,44.9,2,3,66.7,6.8,10,69,10.7,20.4,85.9,789.27,4123.94,5.23,28,9,3.55,1,241,18.6,99.0,Above Target
REC-000061,2024-12-24,2024,Dec,Q4,Operations,Asia Pacific,Pro Plan,Outbound,EMP-0185,CC-400,19182.57,12871.27,6311.3,32.9,0,15,0.0,8.7,22,84,18.9,14.3,96.3,1394.17,9339.4,6.7,59,46,3.86,1,307,20.3,99.09,Below Target
REC-000062,2024-07-24,2024,Jul,Q3,Marketing,North America,Starter Pack,Partner,EMP-0126,CC-500,3556.71,2554.27,1002.44,28.2,0,18,0.0,9.0,33,127,15.6,28.5,72.9,1631.06,8176.44,5.01,91,21,2.63,0,13,19.2,98.65,Below Target
REC-000063,2022-01-06,2022,Jan,Q1,Operations,Europe,Enterprise Suite,Inbound,EMP-0174,CC-100,104648.88,64864.09,39784.79,38.0,4,4,100.0,8.8,15,107,17.8,18.4,78.2,1052.76,5357.16,5.09,121,28,2.98,1,447,25.4,99.06,Above Target
REC-000064,2024-01-28,2024,Jan,Q1,Operations,North America,Starter Pack,Inbound,EMP-0159,CC-300,4591.72,2792.43,1799.29,39.2,2,14,14.3,8.4,58,164,16.9,37.8,80.2,993.13,2681.29,2.7,19,38,4.6,1,118,14.3,99.11,On Track
REC-000065,2023-10-07,2023,Oct,Q4,HR,Latin America,Add-On Services,Outbound,EMP-0008,CC-300,7045.63,4196.79,2848.84,40.4,4,8,50.0,7.8,19,118,9.7,28.3,70.3,1520.53,7074.02,4.65,22,34,2.53,1,84,19.9,98.17,Below Target
REC-000066,2024-12-10,2024,Dec,Q4,Operations,North America,Add-On Services,Partner,EMP-0036,CC-500,9885.25,6583.5,3301.75,33.4,3,17,17.6,7.7,24,107,15.4,19.6,78.7,894.07,3015.71,3.37,23,25,2.88,1,379,13.7,98.67,Above Target
REC-000067,2024-04-05,2024,Apr,Q2,HR,Europe,Enterprise Suite,Inbound,EMP-0010,CC-300,97669.05,78002.84,19666.21,20.1,1,1,100.0,9.5,51,34,11.9,20.0,74.5,2128.66,9373.38,4.4,105,12,2.7,1,278,23.2,98.82,Above Target
REC-000068,2024-05-31,2024,May,Q2,IT,North America,Starter Pack,Inbound,EMP-0183,CC-300,3198.13,2066.81,1131.32,35.4,2,14,14.3,7.6,22,60,14.4,21.6,80.6,1834.26,7883.86,4.3,138,9,2.3,1,93,24.5,98.49,Below Target
REC-000069,2022-11-04,2022,Nov,Q4,IT,Europe,Starter Pack,Inbound,EMP-0087,CC-200,3185.39,2280.98,904.41,28.4,1,18,5.6,10.0,36,30,10.9,23.4,62.8,918.26,4086.53,4.45,45,6,3.38,1,259,25.5,98.27,Below Target
REC-000070,2022-01-02,2022,Jan,Q1,HR,North America,Pro Plan,Inbound,EMP-0007,CC-300,30341.51,22156.04,8185.47,27.0,3,16,18.8,8.1,31,189,8.7,19.6,74.4,680.37,2762.52,4.06,113,17,2.42,1,278,20.1,99.28,Above Target
REC-000071,2024-01-29,2024,Jan,Q1,Operations,Asia Pacific,Starter Pack,Online,EMP-0098,CC-300,5533.72,3681.22,1852.5,33.5,3,5,60.0,7.4,19,16,14.3,22.5,74.8,870.43,5208.5,5.98,30,28,3.22,1,249,26.9,99.86,Above Target
REC-000072,2024-03-10,2024,Mar,Q1,Operations,Europe,Enterprise Suite,Direct Sales,EMP-0156,CC-300,66407.19,34036.36,32370.83,48.7,2,16,12.5,8.0,66,134,15.1,18.3,85.2,1199.3,4465.66,3.72,95,28,3.22,1,491,20.4,99.5,Below Target
REC-000073,2023-12-08,2023,Dec,Q4,Finance,Europe,Starter Pack,Direct Sales,EMP-0035,CC-500,4624.33,2585.04,2039.29,44.1,3,2,150.0,7.0,64,183,16.8,17.6,83.3,1673.26,5924.55,3.54,47,39,3.33,1,295,26.4,98.33,On Track
REC-000074,2022-12-09,2022,Dec,Q4,IT,Asia Pacific,Pro Plan,Partner,EMP-0020,CC-300,21420.73,14282.33,7138.4,33.3,0,5,0.0,9.3,43,189,16.5,43.3,90.2,886.43,3965.4,4.47,10,2,3.07,1,117,11.0,98.49,Below Target
REC-000075,2022-12-12,2022,Dec,Q4,IT,Asia Pacific,Enterprise Suite,Direct Sales,EMP-0188,CC-400,85617.95,57586.95,28031.0,32.7,3,15,20.0,5.9,41,99,18.1,30.7,93.8,693.1,4074.47,5.88,62,38,5.13,1,341,18.1,98.55,On Track
REC-000076,2023-05-26,2023,May,Q2,Sales,Asia Pacific,Enterprise Suite,Online,EMP-0010,CC-300,85622.37,47280.38,38341.99,44.8,1,11,9.1,6.2,62,52,12.3,26.2,71.2,1480.15,8084.07,5.46,141,29,2.44,1,17,4.0,98.22,On Track
REC-000077,2022-03-09,2022,Mar,Q1,HR,Asia Pacific,Enterprise Suite,Outbound,EMP-0068,CC-200,97005.67,71775.0,25230.67,26.0,4,3,133.3,8.1,46,53,8.3,13.7,77.9,1746.13,6972.43,3.99,18,7,3.56,1,98,15.4,100.0,Above Target
REC-000078,2023-05-29,2023,May,Q2,Operations,Latin America,Add-On Services,Inbound,EMP-0051,CC-300,8462.12,5196.03,3266.09,38.6,1,19,5.3,8.9,54,115,11.0,31.1,90.1,1797.77,10814.71,6.02,65,26,3.39,1,194,9.7,99.55,Above Target
REC-000079,2023-08-01,2023,Aug,Q3,Operations,MEA,Enterprise Suite,Online,EMP-0161,CC-100,103002.46,69403.26,33599.2,32.6,3,14,21.4,9.8,26,164,9.8,25.0,82.8,811.59,4623.51,5.7,115,5,3.86,1,272,17.9,99.09,Above Target
REC-000080,2022-07-27,2022,Jul,Q3,Finance,Asia Pacific,Pro Plan,Direct Sales,EMP-0078,CC-400,21269.47,11695.25,9574.22,45.0,2,9,22.2,7.6,31,84,15.1,20.3,75.5,1285.45,5365.25,4.17,110,1,2.84,1,463,14.3,99.19,Below Target
REC-000081,2022-06-11,2022,Jun,Q2,Operations,Asia Pacific,Enterprise Suite,Inbound,EMP-0002,CC-300,101561.52,65604.66,35956.86,35.4,4,15,26.7,7.3,36,97,17.2,30.7,62.4,943.72,4055.85,4.3,113,18,5.11,0,368,6.0,100.0,Above Target
REC-000082,2022-02-19,2022,Feb,Q1,HR,Asia Pacific,Enterprise Suite,Online,EMP-0095,CC-200,45782.76,31111.56,14671.2,32.0,0,13,0.0,8.3,27,198,7.3,26.2,68.9,1343.49,5435.53,4.05,142,38,2.05,1,210,19.2,98.75,Below Target
REC-000083,2023-06-30,2023,Jun,Q2,Operations,MEA,Enterprise Suite,Online,EMP-0141,CC-200,72241.79,54466.13,17775.66,24.6,4,18,22.2,8.1,56,168,20.8,30.6,84.4,864.61,1834.09,2.12,112,21,3.83,1,362,11.4,99.08,Below Target
REC-000084,2022-09-25,2022,Sep,Q3,Sales,Europe,Add-On Services,Inbound,EMP-0125,CC-500,9344.31,4797.85,4546.46,48.7,0,12,0.0,9.4,46,17,15.6,22.7,67.0,975.55,2693.89,2.76,72,27,1.98,0,37,31.7,98.57,Above Target
REC-000085,2022-09-04,2022,Sep,Q3,Sales,North America,Pro Plan,Inbound,EMP-0059,CC-100,20754.75,12975.86,7778.89,37.5,1,17,5.9,8.9,46,155,7.8,21.6,84.8,1525.82,5302.54,3.48,82,11,1.41,0,429,11.5,98.71,Below Target
REC-000086,2024-01-28,2024,Jan,Q1,HR,North America,Starter Pack,Outbound,EMP-0005,CC-200,2165.93,1618.96,546.97,25.3,1,12,8.3,9.1,64,87,4.0,33.6,83.9,1388.86,4705.83,3.39,30,16,3.4,1,94,24.6,98.93,Below Target
REC-000087,2024-01-12,2024,Jan,Q1,Operations,North America,Enterprise Suite,Outbound,EMP-0165,CC-200,72703.61,44257.09,28446.52,39.1,0,16,0.0,6.8,31,68,11.8,32.9,84.3,693.63,3620.9,5.22,52,47,3.82,1,101,16.8,98.12,Below Target
REC-000088,2023-02-25,2023,Feb,Q1,Sales,Latin America,Pro Plan,Direct Sales,EMP-0050,CC-300,25970.76,12675.19,13295.57,51.2,3,5,60.0,7.8,35,99,20.0,26.8,78.5,598.43,3637.96,6.08,71,24,2.26,1,21,26.8,98.17,Above Target
REC-000089,2023-04-16,2023,Apr,Q2,HR,North America,Enterprise Suite,Outbound,EMP-0054,CC-200,125806.29,83882.95,41923.34,33.3,0,1,0.0,8.1,61,196,18.1,6.8,77.4,1078.05,5255.92,4.88,123,15,2.86,1,202,21.5,99.06,Above Target
REC-000090,2022-05-06,2022,May,Q2,Finance,North America,Enterprise Suite,Online,EMP-0089,CC-500,82169.48,51420.11,30749.37,37.4,0,11,0.0,9.3,49,143,15.9,32.8,100.0,1626.44,4126.43,2.54,112,47,2.88,1,190,14.3,98.77,On Track
REC-000091,2022-04-18,2022,Apr,Q2,Marketing,MEA,Starter Pack,Direct Sales,EMP-0085,CC-400,7566.01,6046.35,1519.66,20.1,4,9,44.4,6.6,45,16,13.7,19.4,70.1,1532.36,6327.96,4.13,85,29,2.94,1,340,19.8,99.06,Above Target
REC-000092,2023-05-13,2023,May,Q2,Sales,Latin America,Enterprise Suite,Direct Sales,EMP-0046,CC-300,88908.72,49151.72,39757.0,44.7,3,9,33.3,6.8,53,141,15.3,23.4,76.0,312.96,1578.79,5.04,52,21,3.43,0,316,13.7,99.43,On Track
REC-000093,2024-06-11,2024,Jun,Q2,Marketing,Asia Pacific,Consulting,Inbound,EMP-0094,CC-500,27909.8,17460.78,10449.02,37.4,0,5,0.0,7.3,22,92,10.0,32.4,85.3,1338.66,7684.17,5.74,94,16,2.72,1,148,4.0,98.47,Below Target
REC-000094,2023-08-30,2023,Aug,Q3,Customer Success,North America,Consulting,Partner,EMP-0102,CC-200,32054.01,19930.37,12123.64,37.8,1,12,8.3,8.4,42,125,4.7,20.0,83.8,1332.72,6201.52,4.65,6,29,3.68,1,91,31.8,99.16,Below Target
REC-000095,2024-11-28,2024,Nov,Q4,Operations,North America,Consulting,Online,EMP-0091,CC-500,22985.57,17425.71,5559.86,24.2,4,7,57.1,7.8,77,178,12.5,45.1,91.8,1006.0,5463.54,5.43,15,31,3.02,1,475,15.2,99.17,Below Target
